"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"1",10061005,"HY248621","05/04/2015 03:00:00 PM","033XX W EASTWOOD AVE","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE-GARAGE","false","false",1713,17,33,14,"05",1153366,1930653,2015,"02/10/2018 03:50:01 PM",41.96555828,-87.711491531,"(41.96555828, -87.711491531)"
"2",10061006,"HY249377","05/06/2015 01:17:00 PM","013XX E 71ST PL","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT","false","false",324,3,5,43,"05",1186293,1857862,2015,"02/10/2018 03:50:01 PM",41.765097091,-87.592736347,"(41.765097091, -87.592736347)"
"3",10061007,"HY249206","05/06/2015 11:30:00 AM","039XX N MILWAUKEE AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","OTHER","false","false",1731,17,38,15,"26",1144026,1925855,2015,"02/10/2018 03:50:01 PM",41.952573042,-87.745953965,"(41.952573042, -87.745953965)"
"4",10061009,"HY249427","05/06/2015 02:30:00 PM","054XX W MONROE ST","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","true","false",1522,15,29,25,"18",1140270,1899131,2015,"02/10/2018 03:50:01 PM",41.879309228,-87.760417606,"(41.879309228, -87.760417606)"
"5",10061011,"HY249395","05/02/2015 11:15:00 PM","048XX W BLOOMINGDALE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",2533,25,37,25,"08B",1143839,1911533,2015,"02/10/2018 03:50:01 PM",41.913275608,-87.747001448,"(41.913275608, -87.747001448)"
"6",10061012,"HY249424","05/06/2015 01:40:00 PM","026XX N HALSTED ST","0810","THEFT","OVER $500","PARKING LOT/GARAGE(NON.RESID.)","false","false",1935,19,43,7,"06",1170483,1917945,2015,"02/10/2018 03:50:01 PM",41.930328915,-87.648929332,"(41.930328915, -87.648929332)"
"7",10061014,"HY249154","05/06/2015 11:10:00 AM","026XX W 47TH ST","1513","PROSTITUTION","SOLICIT FOR BUSINESS","STREET","true","false",922,9,12,58,"16",1159741,1873412,2015,"02/10/2018 03:50:01 PM",41.80835455,-87.689630728,"(41.80835455, -87.689630728)"
"8",10061015,"HY249425","05/06/2015 06:00:00 AM","041XX N MASON AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","true","false",1624,16,38,15,"14",1135943,1926928,2015,"02/10/2018 03:50:01 PM",41.955665634,-87.775642173,"(41.955665634, -87.775642173)"
"9",10061016,"HY249282","05/06/2015 12:45:00 PM","026XX W 47TH ST","1513","PROSTITUTION","SOLICIT FOR BUSINESS","STREET","true","false",922,9,12,58,"16",1159741,1873412,2015,"02/10/2018 03:50:01 PM",41.80835455,-87.689630728,"(41.80835455, -87.689630728)"
"10",10061017,"HY249346","05/06/2015 11:00:00 AM","026XX N RIDGEWAY AVE","1582","OFFENSE INVOLVING CHILDREN","CHILD PORNOGRAPHY","RESIDENCE","false","true",2524,25,35,22,"17",1150941,1917149,2015,"02/10/2018 03:50:01 PM",41.92855022,-87.720762645,"(41.92855022, -87.720762645)"
